k,attack_type,attack_id,truth_count,precision,recall,f1,jaccard
20,CAPEC,574,19,0.05,0.05263157894736842,0.05128205128205128,0.02631578947368421
30,CAPEC,574,19,0.1,0.15789473684210525,0.12244897959183673,0.06521739130434782
40,CAPEC,574,19,0.1,0.21052631578947367,0.13559322033898305,0.07272727272727272
50,CAPEC,574,19,0.08,0.21052631578947367,0.11594202898550725,0.06153846153846154
100,CAPEC,574,19,0.05,0.2631578947368421,0.08403361344537816,0.043859649122807015
150,CAPEC,574,19,0.04,0.3157894736842105,0.07100591715976332,0.03680981595092025
200,CAPEC,574,19,0.03,0.3157894736842105,0.054794520547945195,0.028169014084507043
10,Procedure,S0250,161,0.6,0.037267080745341616,0.07017543859649124,0.03636363636363636
20,Procedure,S0250,161,0.65,0.08074534161490683,0.143646408839779,0.07738095238095238
30,Procedure,S0250,161,0.6333333333333333,0.11801242236024845,0.19895287958115182,0.11046511627906977
40,Procedure,S0250,161,0.625,0.15527950310559005,0.24875621890547261,0.14204545454545456
50,Procedure,S0250,161,0.58,0.18012422360248448,0.27488151658767773,0.15934065934065933
100,Procedure,S0250,161,0.41,0.2546583850931677,0.31417624521072796,0.18636363636363637
150,Procedure,S0250,161,0.38,0.35403726708074534,0.3665594855305466,0.22440944881889763
200,Procedure,S0250,161,0.365,0.453416149068323,0.4044321329639889,0.2534722222222222
10,Procedure,S0011,219,0.2,0.0091324200913242,0.017467248908296942,0.00881057268722467
20,Procedure,S0011,219,0.3,0.0273972602739726,0.0502092050209205,0.02575107296137339
30,Procedure,S0011,219,0.4,0.0547945205479452,0.09638554216867469,0.05063291139240506
40,Procedure,S0011,219,0.425,0.0776255707762557,0.13127413127413126,0.07024793388429752
50,Procedure,S0011,219,0.48,0.1095890410958904,0.17843866171003717,0.09795918367346938
100,Procedure,S0011,219,0.4,0.182648401826484,0.2507836990595611,0.14336917562724014
150,Procedure,S0011,219,0.38666666666666666,0.2648401826484018,0.3143631436314363,0.1864951768488746
200,Procedure,S0011,219,0.37,0.3378995433789954,0.35322195704057274,0.2144927536231884
10,CAPEC,485,17,0.1,0.058823529411764705,0.07407407407407408,0.038461538461538464
20,CAPEC,485,17,0.05,0.058823529411764705,0.05405405405405405,0.027777777777777776
30,CAPEC,485,17,0.06666666666666667,0.11764705882352941,0.0851063829787234,0.044444444444444446
40,CAPEC,485,17,0.075,0.17647058823529413,0.10526315789473684,0.05555555555555555
50,CAPEC,485,17,0.1,0.29411764705882354,0.14925373134328357,0.08064516129032258
